seller_id,buyer_id, sum_GMV_buyerlevel 
594947,13775508, $1.00 
772254,99540961, $10.00 
847620,1086778551, $167.97 
2529034,1589225250, $1.99 
3359755,1113302737, $1.00 
4447080,125440546, $2.59 
4766178,2048946908, $188.00 
6215366,2119984767, $11.98 
6287284,1201841430, $39.98 
9711151,172754723, $1.00 
10212404,2044214016, $0.99 
11025400,1870159427, $39.73 
12132543,1010259160, $44.98 
12345941,2076963708, $1.00 
13428027,258713663, $49.00 
13794436,1400928, $7.95 
14532284,20777928, $4.99 
15423640,1662200753, $9.00 
15709035,1966195601, $24.99 
16928936,174161820, $0.99 
16931487,1177428106, $20.98 
17091581,664952649, $1.15 
18276476,546887164, $6.99 
19474595,1317020334, $8.02 
19613879,1717575671, $5.00 
20413945,1927736027, $2.49 
21125074,176092891, $3.87 
21997162,1107497300, $10.00 
21997162,1865477648, $10.00 
23504245,1379509765, $15.56 
24332438,1764818721, $15.98 
27011373,1991042133, $20.45 
30698331,2027109625, $6.00 
30734292,2050465129, $49.00 
30960887,1173082886, $8.54 
30960887,1211177045, $15.11 
31548433,1265442087, $0.99 
32231225,1257540273, $3.84 
34687125,1566539276, $0.99 
35524730,1806243484, $25.53 
36238570,1467612752, $5.00 
36238570,1962179109, $4.00 
36471597,1381360456, $5.49 
37467147,4546090, $9.99 
37666401,176415041, $2.21 
38781074,59079035, $29.00 
38994734,44613152, $174.00 
39247767,1733347186, $3.00 
40016817,1795804047, $4.96 
40547502,1217649022, $1.64 
41278036,1060746842, $342.54 
42943913,227171211, $163.72 
43411742,22009799, $2.50 
47718023,51157326, $21.70 
49464703,762309627, $37.63 
50538540,36743101, $0.99 
50568924,1152089912, $29.95 
53494541,1139406901, $1.00 
53681420,1452271439, $9.95 
56607485,65848824, $3.26 
56759856,181283343, $5.01 
56841124,68475524, $10.00 
57772141,776365434, $1.81 
60610650,1948011863, $1.99 
61297530,1735687124, $3.99 
62580836,1625305628, $0.99 
65801646,1125279109, $1.00 
67084406,1352706645, $13.38 
71417900,2029235096, $59.85 
71536100,298537540, $2.97 
74446003,1045651357, $1.75 
74988198,60095075, $1.99 
